(1587232863.706908, 129)
(1587232863.758581, 134)
(1587232863.809387, 139)
(1587232863.86345, 143)
(1587232863.915901, 148)
(1587232863.966995, 154)
(1587232864.018491, 159)
(1587232864.070469, 163)
(1587232864.121335, 169)
(1587232864.173928, 174)
(1587232864.224585, 179)
(1587232864.276457, 184)
(1587232864.331932, 189)
(1587232864.385669, 193)
(1587232864.436269, 199)
(1587232864.488257, 204)
(1587232864.541518, 209)
(1587232864.593428, 213)
(1587232864.645227, 213)
(1587232864.697424, 210)
(1587232864.748827, 205)
(1587232864.803227, 200)
(1587232864.854604, 192)
(1587232864.905429, 185)
(1587232864.956967, 181)
(1587232865.008292, 177)
(1587232865.060056, 172)
(1587232865.112058, 170)
(1587232865.16289, 164)
(1587232865.213735, 158)
(1587232865.265203, 155)
(1587232865.315741, 147)
(1587232865.366879, 141)
(1587232865.421943, 137)
(1587232865.472947, 132)
(1587232865.523609, 128)
(1587232865.574589, 122)
(1587232865.6254, 119)
(1587232865.675937, 111)
(1587232865.728375, 107)
(1587232865.782539, 102)
(1587232865.833396, 98)
(1587232865.885018, 93)
(1587232865.935571, 88)
(1587232865.98627, 83)
(1587232866.038446, 76)
(1587232866.091596, 72)
(1587232866.142859, 71)
(1587232866.19351, 62)
(1587232866.244105, 57)
(1587232866.295299, 53)
(1587232866.345835, 48)
(1587232866.396968, 43)
(1587232866.452963, 39)
(1587232866.504978, 34)
